Protein.Group	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
Human_swiss_sp|O43451|MGA_HUMAN Maltase-glucoamylase, intestinal OS=Homo sapiens OX=9606 GN=MGAM PE=1 SV=5	113975	213837	230694	153106	84378.9	134547	186031
Human_swiss_sp|O43653|PSCA_HUMAN Prostate stem cell antigen OS=Homo sapiens OX=9606 GN=PSCA PE=1 SV=2	NA	3411.64	2455.51	NA	NA	NA	2377.57
Human_swiss_sp|O43895|XPP2_HUMAN Xaa-Pro aminopeptidase 2 OS=Homo sapiens OX=9606 GN=XPNPEP2 PE=1 SV=3	449891	573763	412728	447675	683020	1.87029e+06	853708
Human_swiss_sp|O60814|H2B1K_HUMAN Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3	NA	7705.58	12034.9	NA	5135.63	2980.94	9119.07
Human_swiss_sp|O60844|ZG16_HUMAN Zymogen granule membrane protein 16 OS=Homo sapiens OX=9606 GN=ZG16 PE=1 SV=2	1.11705e+06	638237	987102	705751	940787	562017	879544
Human_swiss_sp|O75112|LDB3_HUMAN LIM domain-binding protein 3 OS=Homo sapiens OX=9606 GN=LDB3 PE=1 SV=2	NA	9467.66	10105.8	NA	7348.28	14720.1	8402.7
Human_swiss_sp|O75131|CPNE3_HUMAN Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1	NA	NA	NA	NA	NA	7744.89	7176.19
Human_swiss_sp|O75306|NDUS2_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2	NA	1858.08	NA	NA	2788.98	2099.42	2002.9
Human_swiss_sp|O75340|PDCD6_HUMAN Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1	NA	NA	NA	NA	NA	16352.4	11530.6
Human_swiss_sp|O75830|SPI2_HUMAN Serpin I2 OS=Homo sapiens OX=9606 GN=SERPINI2 PE=1 SV=1	NA	13557.3	NA	NA	NA	5011.41	9495.34
Human_swiss_sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2	2912.9	NA	NA	NA	NA	766.868	NA
Human_swiss_sp|O75882|ATRN_HUMAN Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2	NA	7170.56	10399.9	12641.3	6942.07	7405.64	9036.08
Human_swiss_sp|O94832|MYO1D_HUMAN Unconventional myosin-Id OS=Homo sapiens OX=9606 GN=MYO1D PE=1 SV=2	NA	NA	NA	NA	NA	NA	14266.6
Human_swiss_sp|O95471|CLD7_HUMAN Claudin-7 OS=Homo sapiens OX=9606 GN=CLDN7 PE=1 SV=4	NA	5268.88	8305.07	7999.41	3614.03	13217.3	7627.06
Human_swiss_sp|O95497|VNN1_HUMAN Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2	10661.7	3482.92	28095.8	3091.43	9160.1	70315.8	21057.8
Human_swiss_sp|P00338|LDHA_HUMAN L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	NA	NA	NA	NA	NA	2664.47	NA
Human_swiss_sp|P00441|SODC_HUMAN Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	NA	NA	NA	NA	9079.13	10156	11024.1
Human_swiss_sp|P00738|HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1	9461.03	NA	7126.73	3475.01	20765.7	NA	6276.33
Human_swiss_sp|P00813|ADA_HUMAN Adenosine deaminase OS=Homo sapiens OX=9606 GN=ADA PE=1 SV=3	26805.5	36215.4	34431.1	24175	NA	24628.1	33375
Human_swiss_sp|P01008|ANT3_HUMAN Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	NA	23312.4	48110.6	28401.7	26755.2	25834.3	44654.4
Human_swiss_sp|P01009|A1AT_HUMAN Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3	220303	119382	283504	203988	140023	196222	242636
Human_swiss_sp|P01023|A2MG_HUMAN Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	9807.66	6979.2	7678.38	12001.8	8661.77	6871.37	12186.4
Human_swiss_sp|P01591|IGJ_HUMAN Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4	421912	274572	888757	1.0021e+06	750768	1.57675e+06	901150
Human_swiss_sp|P01700|LV147_HUMAN Immunoglobulin lambda variable 1-47 OS=Homo sapiens OX=9606 GN=IGLV1-47 PE=1 SV=2	188681	21914.7	209880	117879	177020	460516	249281
Human_swiss_sp|P01764|HV323_HUMAN Immunoglobulin heavy variable 3-23 OS=Homo sapiens OX=9606 GN=IGHV3-23 PE=1 SV=2	142934	87267	146275	187270	112445	672759	386530
Human_swiss_sp|P01782|HV309_HUMAN Immunoglobulin heavy variable 3-9 OS=Homo sapiens OX=9606 GN=IGHV3-9 PE=1 SV=2	NA	NA	NA	8844.91	10510.7	23782.2	8526.86
Human_swiss_sp|P01833|PIGR_HUMAN Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4	645262	472868	949499	1.26848e+06	1.0331e+06	1.91029e+06	1.01215e+06
Human_swiss_sp|P01834|IGKC_HUMAN Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2	1.95563e+06	1.72553e+06	2.91536e+06	2.85056e+06	1.94115e+06	5.59867e+06	4.76503e+06
Human_swiss_sp|P01857|IGHG1_HUMAN Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1	60198.5	46788.5	51975.1	57657.8	109802	58935.2	127255
Human_swiss_sp|P01871|IGHM_HUMAN Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4	95316.8	11534.4	18301.2	75523.4	80790.5	467768	132160
Human_swiss_sp|P01876|IGHA1_HUMAN Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2	5.32411e+06	2.13128e+06	3.85165e+06	7.27665e+06	7.34653e+06	1.00667e+07	7.99092e+06
Human_swiss_sp|P01903|DRA_HUMAN HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens OX=9606 GN=HLA-DRA PE=1 SV=2	NA	6293.02	20027.2	58458.8	9005.62	15542.4	11644.2
Human_swiss_sp|P02458|CO2A1_HUMAN Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3	36970.3	44930.9	24750.8	21730.8	46567.2	NA	36026.9
Human_swiss_sp|P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3	37058.4	NA	NA	NA	NA	NA	NA
Human_swiss_sp|P02647|APOA1_HUMAN Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1	NA	14766.5	NA	NA	NA	7549.47	14293
Human_swiss_sp|P02766|TTHY_HUMAN Transthyretin OS=Homo sapiens OX=9606 GN=TTR PE=1 SV=1	7891.63	NA	36126	35414.4	28365.9	22494.5	34722
Human_swiss_sp|P02768|ALBU_HUMAN Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	227726	132617	203390	161323	229810	78738.7	377924
Human_swiss_sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	115330	19749.7	87459.9	53770.4	148967	25276.5	75707.9
Human_swiss_sp|P02792|FRIL_HUMAN Ferritin light chain OS=Homo sapiens OX=9606 GN=FTL PE=1 SV=2	20943.7	28129.8	30261.4	15420.5	9968.37	11918.8	27909.9
Human_swiss_sp|P02794|FRIH_HUMAN Ferritin heavy chain OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=2	53092.2	230117	231946	55750.9	130770	30008.9	128357
Human_swiss_sp|P04054|PA21B_HUMAN Phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G1B PE=1 SV=3	422085	587907	527613	877276	470720	663785	723520
Human_swiss_sp|P04066|FUCO_HUMAN Tissue alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA1 PE=1 SV=4	NA	2304.01	NA	NA	NA	NA	NA
Human_swiss_sp|P04075|ALDOA_HUMAN Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	27334.5	10554.2	10215.7	NA	8736.73	5250.53	15125.9
Human_swiss_sp|P04083|ANXA1_HUMAN Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	18390.9	NA	12594.9	NA	18141.3	184568	24933.8
Human_swiss_sp|P04264|K2C1_HUMAN Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6	252994	14184	19333	141577	10552.8	16673	31048.5
Human_swiss_sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	247209	730757	389688	202464	250229	232519	379062
Human_swiss_sp|P04746|AMYP_HUMAN Pancreatic alpha-amylase OS=Homo sapiens OX=9606 GN=AMY2A PE=1 SV=2	567144	292711	1.77134e+06	2.20795e+06	2.65886e+06	2.54044e+06	3.84936e+06
Human_swiss_sp|P05026|AT1B1_HUMAN Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1	25218.3	8309.33	6428.57	13722.2	NA	19354.9	17023.9
Human_swiss_sp|P05109|S10A8_HUMAN Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1	2.08841e+06	107030	1.16955e+06	379432	4.07736e+06	198292	868520
Human_swiss_sp|P05164|PERM_HUMAN Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1	303421	68993.5	351121	215354	576665	79880.2	261185
Human_swiss_sp|P05186|PPBT_HUMAN Alkaline phosphatase, tissue-nonspecific isozyme OS=Homo sapiens OX=9606 GN=ALPL PE=1 SV=4	15358.7	NA	NA	NA	NA	8176.15	10302.5
Human_swiss_sp|P05451|REG1A_HUMAN Lithostathine-1-alpha OS=Homo sapiens OX=9606 GN=REG1A PE=1 SV=3	383354	NA	8163.57	16078.8	83428.3	80548.6	175276
Human_swiss_sp|P05976|MYL1_HUMAN Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=1 SV=3	41659.9	38365.5	30355.3	23702.4	18955.4	9139.42	32946.6
Human_swiss_sp|P06702|S10A9_HUMAN Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1	466402	25139.9	220969	83318.6	796534	44981.5	177624
Human_swiss_sp|P06731|CEAM5_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens OX=9606 GN=CEACAM5 PE=1 SV=3	671667	454513	682807	249182	505232	1.42313e+06	619298
Human_swiss_sp|P06732|KCRM_HUMAN Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2	172434	96718.3	117775	107584	82826.9	50507.6	115814
Human_swiss_sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	24812.9	18190	43049.7	33990.1	12846.9	72200.1	31528.9
Human_swiss_sp|P07355|ANXA2_HUMAN Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	246370	247113	353034	215350	455783	498633	381412
Human_swiss_sp|P07437|TBB5_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	8315.17	NA	NA	NA	NA	7011.79	11198.5
Human_swiss_sp|P07451|CAH3_HUMAN Carbonic anhydrase 3 OS=Homo sapiens OX=9606 GN=CA3 PE=1 SV=3	NA	NA	NA	NA	NA	7667.76	NA
Human_swiss_sp|P07477|TRY1_HUMAN Trypsin-1 OS=Homo sapiens OX=9606 GN=PRSS1 PE=1 SV=1	1.06129e+06	91083	224128	901522	184415	687256	1.36672e+06
Human_swiss_sp|P07478|TRY2_HUMAN Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1	313436	178699	53810.2	439355	55911.2	763957	450841
Human_swiss_sp|P08217|CEL2A_HUMAN Chymotrypsin-like elastase family member 2A OS=Homo sapiens OX=9606 GN=CELA2A PE=1 SV=1	123601	571873	1.97573e+06	551768	790689	2.31951e+06	3.6239e+06
Human_swiss_sp|P08246|ELNE_HUMAN Neutrophil elastase OS=Homo sapiens OX=9606 GN=ELANE PE=1 SV=1	27303	NA	23334.5	NA	31263.9	8375.38	20049.6
Human_swiss_sp|P08311|CATG_HUMAN Cathepsin G OS=Homo sapiens OX=9606 GN=CTSG PE=1 SV=2	8596.76	NA	6261.45	NA	26759.8	NA	6230.42
Human_swiss_sp|P08473|NEP_HUMAN Neprilysin OS=Homo sapiens OX=9606 GN=MME PE=1 SV=2	90523.5	73862	136638	137145	121027	298587	155307
Human_swiss_sp|P08758|ANXA5_HUMAN Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	NA	1899.41	5145.09	3313.03	2585.12	5154.77	2733.08
Human_swiss_sp|P08861|CEL3B_HUMAN Chymotrypsin-like elastase family member 3B OS=Homo sapiens OX=9606 GN=CELA3B PE=1 SV=3	494965	865222	4.20724e+06	1.15669e+06	1.38446e+06	2.97631e+06	4.86046e+06
Human_swiss_sp|P09093|CEL3A_HUMAN Chymotrypsin-like elastase family member 3A OS=Homo sapiens OX=9606 GN=CELA3A PE=1 SV=3	6.55667e+06	6.00243e+06	4.47003e+06	5.87576e+06	6.38794e+06	4.63572e+06	7.23668e+06
Human_swiss_sp|P09327|VILI_HUMAN Villin-1 OS=Homo sapiens OX=9606 GN=VIL1 PE=1 SV=4	8114.59	5078.39	4930.19	5740.89	5533.57	9281.94	8486.66
Human_swiss_sp|P09493|TPM1_HUMAN Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2	NA	13265.6	27416.1	NA	NA	NA	17898.4
Human_swiss_sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4	173417	31140.2	63898.9	52788.5	40848.1	102113	50391.2
Human_swiss_sp|P09923|PPBI_HUMAN Intestinal-type alkaline phosphatase OS=Homo sapiens OX=9606 GN=ALPI PE=1 SV=2	565624	553596	931284	698835	686287	2.88077e+06	1.47258e+06
Human_swiss_sp|P0DOX2|IGA2_HUMAN Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2	667460	483599	969037	879059	505660	1.51702e+06	1.03124e+06
Human_swiss_sp|P0DOX7|IGK_HUMAN Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1	250100	44714.3	179613	97101.6	62997.5	227259	183067
Human_swiss_sp|P0DOY2|IGLC2_HUMAN Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1	1.58744e+06	582709	1.58781e+06	1.08501e+06	1.1366e+06	2.54688e+06	1.99503e+06
Human_swiss_sp|P0DP23|CALM1_HUMAN Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1	29688.5	NA	14841.6	14581.7	26413.7	15549.7	17601.4
Human_swiss_sp|P0DTE1|HV383_HUMAN Probable non-functional immunoglobulin heavy variable 3-38-3 OS=Homo sapiens OX=9606 GN=IGHV3-38-3 PE=1 SV=1	NA	NA	19436.1	NA	NA	22097.7	13780.5
Human_swiss_sp|P0DTE7|AMY1B_HUMAN Alpha-amylase 1B OS=Homo sapiens OX=9606 GN=AMY1B PE=1 SV=1	NA	NA	9315.75	NA	21013.8	NA	NA
Human_swiss_sp|P10153|RNAS2_HUMAN Non-secretory ribonuclease OS=Homo sapiens OX=9606 GN=RNASE2 PE=1 SV=2	NA	NA	14952.8	12936.9	NA	33302.2	37489.1
Human_swiss_sp|P10253|LYAG_HUMAN Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4	9071.3	5654.54	10859.9	NA	NA	7276.11	10956.4
Human_swiss_sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	10624.6	6605.29	8650.35	8635.91	NA	4119.37	20196
Human_swiss_sp|P11217|PYGM_HUMAN Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6	61535.1	63217.4	63617.5	51045.3	53503.8	29278.2	69673
Human_swiss_sp|P11678|PERE_HUMAN Eosinophil peroxidase OS=Homo sapiens OX=9606 GN=EPX PE=1 SV=2	53994.2	21197.8	46567.4	59279	32906.4	83261.5	60581.8
Human_swiss_sp|P12236|ADT3_HUMAN ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4	NA	6551.93	8467.13	10245.3	13018.6	24707.8	12615.4
Human_swiss_sp|P12273|PIP_HUMAN Prolactin-inducible protein OS=Homo sapiens OX=9606 GN=PIP PE=1 SV=1	54602.5	21634.9	93286.7	89638.6	882341	25160	134819
Human_swiss_sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3	3696.73	NA	NA	NA	NA	2831.38	2790.41
Human_swiss_sp|P12544|GRAA_HUMAN Granzyme A OS=Homo sapiens OX=9606 GN=GZMA PE=1 SV=2	11835.1	NA	40193.6	33251.1	4501.04	6504.03	11302.8
Human_swiss_sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	53105.8	49119.2	45735.7	NA	26911.3	24690.8	36275.5
Human_swiss_sp|P12821|ACE_HUMAN Angiotensin-converting enzyme OS=Homo sapiens OX=9606 GN=ACE PE=1 SV=1	41717.6	133043	80278	50217	195683	131114	191212
Human_swiss_sp|P12882|MYH1_HUMAN Myosin-1 OS=Homo sapiens OX=9606 GN=MYH1 PE=1 SV=3	17218.2	26105.2	24433.6	16154.9	19599.8	19366.1	32667.9
Human_swiss_sp|P12883|MYH7_HUMAN Myosin-7 OS=Homo sapiens OX=9606 GN=MYH7 PE=1 SV=5	38120.1	46876.4	86257.6	40644.7	73587	57877.2	73079.2
Human_swiss_sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6	358836	6826.83	21941.7	127512	18849.4	14291.2	58847
Human_swiss_sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3	84010.8	NA	NA	45676.4	NA	3358.42	13816.4
Human_swiss_sp|P13688|CEAM1_HUMAN Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=CEACAM1 PE=1 SV=2	161532	88278.6	161317	123310	128039	146080	114443
Human_swiss_sp|P13727|PRG2_HUMAN Bone marrow proteoglycan OS=Homo sapiens OX=9606 GN=PRG2 PE=1 SV=2	NA	23922.1	44273	31816.6	NA	32008.8	37658.2
Human_swiss_sp|P14410|SUIS_HUMAN Sucrase-isomaltase, intestinal OS=Homo sapiens OX=9606 GN=SI PE=1 SV=6	NA	22984.1	34372.6	33824.9	21902	27557.6	38248.6
Human_swiss_sp|P14555|PA2GA_HUMAN Phospholipase A2, membrane associated OS=Homo sapiens OX=9606 GN=PLA2G2A PE=1 SV=2	17369.5	18897.5	68088.4	39464.9	12542.9	69339.5	23857.8
Human_swiss_sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	23105.8	20091.4	19099.6	8720.24	8420.31	7616.78	22701.2
Human_swiss_sp|P15085|CBPA1_HUMAN Carboxypeptidase A1 OS=Homo sapiens OX=9606 GN=CPA1 PE=1 SV=2	343298	385848	110180	997770	234148	4.12656e+06	2.49196e+06
Human_swiss_sp|P15086|CBPB1_HUMAN Carboxypeptidase B OS=Homo sapiens OX=9606 GN=CPB1 PE=1 SV=4	3.82389e+06	2.63008e+06	895671	4.5472e+06	1.29725e+07	1.03686e+07	8.78886e+06
Human_swiss_sp|P15144|AMPN_HUMAN Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4	153029	57845.2	95458	256449	165490	608343	678814
Human_swiss_sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	67407.7	28186.4	68099.2	20170	33561.4	46281.4	44553.3
Human_swiss_sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1	NA	NA	5050.07	5699.95	8079.15	3782.63	8546.29
Human_swiss_sp|P15814|IGLL1_HUMAN Immunoglobulin lambda-like polypeptide 1 OS=Homo sapiens OX=9606 GN=IGLL1 PE=1 SV=1	NA	NA	30278.6	NA	13426.7	43283.3	29932.7
Human_swiss_sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2	22131.6	108605	NA	115033	13159.8	NA	12349.4
Human_swiss_sp|P15941|MUC1_HUMAN Mucin-1 OS=Homo sapiens OX=9606 GN=MUC1 PE=1 SV=3	NA	NA	4513.57	NA	5072.69	6380.21	6653
Human_swiss_sp|P16233|LIPP_HUMAN Pancreatic triacylglycerol lipase OS=Homo sapiens OX=9606 GN=PNLIP PE=1 SV=1	NA	44089	40808.7	161946	27559	128192	127026
Human_swiss_sp|P16444|DPEP1_HUMAN Dipeptidase 1 OS=Homo sapiens OX=9606 GN=DPEP1 PE=1 SV=3	337360	166415	218096	181447	121096	403711	302458
Human_swiss_sp|P16671|CD36_HUMAN Platelet glycoprotein 4 OS=Homo sapiens OX=9606 GN=CD36 PE=1 SV=2	NA	NA	7490.68	10458.2	11464.8	3486.07	8899.01
Human_swiss_sp|P17538|CTRB1_HUMAN Chymotrypsinogen B OS=Homo sapiens OX=9606 GN=CTRB1 PE=2 SV=2	246515	157415	151916	312663	112957	406969	460052
Human_swiss_sp|P19237|TNNI1_HUMAN Troponin I, slow skeletal muscle OS=Homo sapiens OX=9606 GN=TNNI1 PE=1 SV=3	64248.4	39370.1	63265.9	47444.4	41678.2	24864.9	43124.9
Human_swiss_sp|P19835|CEL_HUMAN Bile salt-activated lipase OS=Homo sapiens OX=9606 GN=CEL PE=1 SV=3	92942.4	72556.4	54827.2	55851.4	8922.61	254855	127013
Human_swiss_sp|P20160|CAP7_HUMAN Azurocidin OS=Homo sapiens OX=9606 GN=AZU1 PE=1 SV=3	70762.1	25225.6	121892	60135.6	239404	24699.1	65106.2
