COGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
COG4166	NA	NA	NA	40826.6	NA	34372.7	45818.4
COG4206	19011.8	10299.5	NA	6104.44	4890.15	NA	8717.23
COG4209	7534.65	NA	NA	13527.1	10173	NA	16144.3
COG4260	NA	NA	NA	NA	NA	NA	13035.5
COG4577	142189	290458	95368.9	413962	248597	60678	127524.9
COG4624	NA	NA	NA	23354.1	NA	NA	NA
COG4656	13482.6	16215.61	12985.22	17980.48	14520.26	3213.24	14314.75
COG4659	7807.54	5412.34	NA	7550.15	NA	1633.42	11853.8
COG4677	23260.6	8594.66	NA	83969.07	38705.29	NA	61368.17
COG4690	13450.3	8221.73	5040.94	16274.1	9286.27	4925.99	8668.51
COG4716	71700.3	161880.5	50549.6	172936.9	123247.4	16761.82	114758.3
COG4733	NA	NA	NA	2970.04	NA	NA	2103.41
COG4771	364352.75	628481.7	412769.07	481695.6	487791.4	119229.1	342704.66
COG4775	NA	18122.4	NA	7864.55	16900.8	NA	NA
COG4799	46411.5	105154	44304.3	77142.9	46412.8	56046.6	91228
COG4822	47637.6	34626.6	21539.5	64738.5	44388.1	18829.4	35098.2
COG4859	NA	17867.5	NA	11144	NA	NA	NA
COG4926	NA	13235	NA	6317.41	NA	NA	NA
COG4934	7555.33	4817.75	6327.88	6504.33	5450.93	3745.24	5682.11
COG4948	NA	NA	NA	10953.2	NA	NA	12371.5
COG5016	150799.02	520533	372616	561613	449185	87827.1	302304
COG5263	257245.7	64262.26	NA	97360.66	30554.6	265429.4	250855.7
COG5426	NA	31323.9	18722.35	58212	15656.3	16314.63	28548.34
COG5434	NA	NA	NA	2970.04	NA	NA	2103.41
COG5464	NA	NA	NA	9224.8	NA	NA	NA
COG5492	31082.7	102901	68029.7	9895.46	33120.6	NA	16148.7
COG5496	NA	3473.89	6625.31	3778.99	6922.27	NA	2525.66
COG5520	NA	NA	NA	NA	NA	8943.13	NA
COG5545	32621.8	55443.5	88563.6	37860.5	15628.7	2131.41	40148.1
KOG0001	88901	NA	34367.6	NA	28262.8	46751.2	43482.2
KOG0027	61497	NA	36783.2	25849	56472.9	47113.2	37480
KOG0030	41659.9	38365.5	30355.3	23702.4	18955.4	9139.42	32946.6
KOG0034	8352.87	NA	NA	4391.43	5473.62	8312.25	7362.11
KOG0035	53105.8	64136.5	63893.4	27302.2	26911.3	31324.26	50866.1
KOG0037	NA	NA	NA	NA	NA	16352.4	11530.6
KOG0045	5244.08	4973.91	12997.7	5606.38	7386.35	12296.1	13210.2
KOG0052	NA	20811	16027.7	11577.3	13231.4	18346.2	15084.1
KOG0078	NA	NA	8474.67	NA	NA	8364.63	6829.54
KOG0085	20885.5	NA	10382.3	NA	9773.09	15166.7	12695.2
KOG0087	NA	7760.21	14303.2	7880.89	8883.74	12287.7	10280.4
KOG0092	30438.6	28831.3	19775.8	NA	NA	30574.9	30679.1
KOG0101	10624.6	6605.29	8650.35	8635.91	NA	4119.37	20196
KOG0161	177235.3	264439	388406.9	177728.7	211150.7	163308.8	322568.51
KOG0164	NA	NA	NA	NA	NA	NA	14266.6
KOG0382	16938.5	12359	15553.4	19493.1	18853.5	46692.26	15036.8
KOG0395	14874.6	NA	9704.81	NA	11042.5	6191.1	7652.86
KOG0407	NA	12621	NA	6247.86	NA	4487.97	8130.46
KOG0441	NA	NA	NA	NA	9079.13	10156	11024.1
KOG0443	8114.59	5078.39	4930.19	5740.89	5533.57	9281.94	8486.66
KOG0460	11967.2	NA	NA	NA	NA	NA	NA
KOG0471	NA	10634	23325.8	36943.1	11711.9	56123.4	17616.1
KOG0488	24812.9	18190	43049.7	33990.1	12846.9	72200.1	31528.9
KOG0518	NA	4431.67	NA	2821.68	5604.72	NA	3422.88
KOG0613	23350.2	17914.1	5875.5	19350.8	22791.1	1402.41	20679.9
KOG0621	NA	1461.94	5353.55	2724.91	3039.69	5050.59	3461.26
KOG0657	276897.5	730757	404529.6	217045.7	276642.7	248068.7	396663.4
KOG0676	10944.7	NA	14988.03	12566.99	6087.22	11098.31	13856.25
KOG0749	NA	6551.93	8467.13	10245.3	13018.6	24707.8	12615.4
KOG0804	88901	NA	34367.6	NA	28262.8	46751.2	43482.2
KOG0806	10661.7	3482.92	28095.8	3091.43	9160.1	70315.8	21057.8
KOG0819	483401.53	306582.01	476796.19	309649.63	541661.72	841614.45	507255.69
KOG0865	NA	NA	NA	NA	NA	6658.69	NA
KOG0877	22131.6	108605	NA	115033	13159.8	NA	12349.4
KOG0888	13427.6	NA	5050.07	5699.95	8079.15	100204.53	70296.99
KOG0918	25100.7	37889.7	34803.8	26132.2	30121.7	23935.1	38352.5
KOG0960	12268.6	NA	NA	NA	NA	NA	NA
KOG1003	NA	13265.6	27416.1	NA	NA	NA	17898.4
KOG1046	153029	57845.2	95458	256449	165490	608343	678814
KOG1065	123046.3	242475.64	275926.5	186930.9	106280.9	169380.71	235236
KOG1097	26805.5	36215.4	34431.1	24175	NA	24628.1	33375
KOG1192	NA	NA	NA	NA	NA	3807.74	6273.02
KOG1205	NA	NA	NA	NA	NA	19042.2	NA
KOG1216	1319264.82	1600293.63	1675104	1453830.9	1391221.9	1466844.27	2158475.3
KOG1217	NA	6244.43	NA	NA	NA	NA	NA
KOG1327	NA	NA	NA	NA	NA	7744.89	7176.19
KOG1353	133778	56061.7	189438.8	95141	149937.5	59987.7	108753
KOG1366	9807.66	6979.2	7678.38	12001.8	8661.77	6871.37	12186.4
KOG1375	8315.17	NA	NA	NA	NA	7011.79	11198.5
KOG1376	NA	NA	NA	NA	NA	5728.6	NA
KOG1388	NA	7170.56	10399.9	12641.3	6942.07	7405.64	9036.08
KOG1426	NA	NA	8509.2	NA	NA	4316.76	4402.26
KOG1439	NA	NA	3650.18	NA	NA	2605.16	NA
KOG1495	NA	NA	NA	NA	NA	2664.47	NA
KOG1516	92942.4	72556.4	54827.2	55851.4	8922.61	254855	127013
KOG1526	12562.36	6971.33	4648.76	4696.94	3846.94	6274.678	8603.82
KOG1557	27334.5	10554.2	10215.7	NA	8736.73	5250.53	15125.9
KOG1559	NA	3963.08	4779.69	3330.4	10013.1	NA	3516.76
KOG1643	114260	47142.1	23599.2	44449.3	30994.1	49803.5	62008.4
KOG1693	NA	8629.18	NA	5896.99	NA	4214.68	NA
KOG1703	NA	9467.66	10105.8	NA	7348.28	14720.1	8402.7
KOG1704	106204	77379.1	193294	99504.2	42277.4	89422.6	95612.8
KOG1735	NA	NA	8875.18	NA	5924.41	2297.78	5710.88
KOG1744	NA	7705.58	12034.9	NA	5135.63	2980.94	9119.07
KOG1745	814718	1348460	1058250	598080	480359	536406	1122130
KOG1756	814718	1348460	1058250	598080	480359	536406	1122130
KOG1959	NA	13193.8	18532.3	12085	14548.7	11982.1	17513.1
KOG2099	61535.1	63217.4	63617.5	51045.3	53503.8	29278.2	69673
KOG2100	23673.1	100198	125473	102711	70927.4	100881	123136
KOG2177	NA	NA	6655.52	3989.85	4862.63	6134.79	6030.94
KOG2193	NA	3614.26	NA	33845.9	25509.7	NA	6256.4
KOG2195	NA	21465.83	24956.44	23165.05	25062.7	34338.15	30472.17
KOG2212	567144	292711	1780655.75	2207950	2679873.8	2540440	3849360
KOG2220	22992.4	NA	15181.7	7425.39	NA	15508.2	13691.8
KOG2258	NA	11335.8	10268.3	8428.31	NA	10562.9	13092.1
KOG2275	15359.2	16051	16610.7	32669	9895.78	37248.9	28470
KOG2322	16305.9	NA	8752.87	NA	NA	13982.6	9369.57
KOG2323	23105.8	20091.4	19099.6	8720.24	8420.31	7616.78	22701.2
KOG2332	74035.9	258246.8	262207.4	71171.4	140738.37	41927.7	156266.9
KOG2392	510637.3	513648	957321.5	686199.4	386635.6	631507.11	850203.54
KOG2408	357415.2	90191.3	397688.4	274633	609571.4	163141.7	321766.8
KOG2413	449891	573763	412728	447675	683020	1870290	853708
KOG2456	6117.64	3377.06	NA	8041.47	4788.8	3999.93	5291.87
KOG2529	NA	NA	NA	NA	NA	2139.38	2631.69
KOG2597	NA	NA	NA	19428.3	8782.14	NA	NA
KOG2645	241993.9	231682.1	250375.9	384110.3	252954.2	306437.2	401293.6
KOG2650	4309431	3049500.2	1048478.1	5626762.9	13243388	14822310.2	11455618.1
KOG2657	NA	6099.96	9619.84	7471.87	3546.04	5560.81	5101.44
KOG2870	NA	1858.08	NA	NA	2788.98	2099.42	2002.9
KOG3006	7891.63	NA	36126	35414.4	28365.9	22494.5	34722
KOG3126	30481.3	24412	16033.07	15356.21	19668.11	11571.78	23739.4
KOG3283	39197.2	12526.1	13078	NA	NA	NA	27186.5
KOG3340	NA	2304.01	NA	NA	NA	NA	NA
KOG3378	62282.1	596584	112626.21	54218.7	139244.7	104523	137955.9
KOG3467	814718	1348460	1058250	598080	480359	536406	1122130
KOG3528	NA	NA	NA	NA	NA	6798.03	3550.84
KOG3529	67407.7	28186.4	68099.2	20170	33561.4	46281.4	44553.3
KOG3544	36970.3	44930.9	24750.8	21730.8	46567.2	NA	36026.9
KOG3545	NA	12587	12246.7	14319.7	23678.6	10104	12886.3
KOG3557	33332.7	NA	15195.1	NA	NA	45287.6	35161.5
KOG3581	172434	96718.3	117775	107584	82826.9	50507.6	115814
KOG3587	52747.5	39153.7	45573.2	51508.4	45443.8	52078.8	75548.9
KOG3594	362278.79	486877.5	595119.4	624619.8	830067.8	191171.8	495466.7
KOG3624	90523.5	73862	136638	137145	121027	298587	155307
KOG3627	11869937.19	11156321.62	14188621.9	12076695.77	12791062.81	14445579.09	21875198.92
KOG3690	41717.6	145088.8	80278	70540.5	195683	136906.16	202535.5
KOG3714	257679	183885.2	768653.8	339309.2	1102506.8	143176.9	414252.5
KOG3770	36847.7	12776.2	17689.1	NA	8132.75	29041.6	19354.1
KOG3774	17394.4	10472.8	23391.8	15048.6	11959.9	12024.5	16163.4
KOG3776	NA	NA	7490.68	10458.2	11464.8	3486.07	8899.01
KOG3927	25218.3	8309.33	6428.57	13722.2	NA	19354.9	17023.9
KOG3977	64248.4	39370.1	63265.9	47444.4	41678.2	24864.9	43124.9
KOG3998	NA	28919.5	13189.3	7591.06	5189.21	8359.06	7226.9
KOG4087	439454.5	606804.5	601545.48	922724.7	483262.9	736151.85	753888.46
KOG4126	580982.7	553596	931284	698835	686287	2888946.15	1482882.5
KOG4127	337360	166415	218096	181447	121096	403711	302458
KOG4229	NA	NA	NA	NA	NA	7272.34	NA
KOG4296	NA	NA	3452.45	NA	4421.12	22866.7	8893.77
KOG4297	383354	30531.12	84199.67	72879.4	93180.96	159577.2	237328
KOG4419	6994.23	5579.47	8622.65	9447.67	10921.1	6960.08	7457
KOG4475	23350.2	17914.1	5875.5	19350.8	22791.1	1402.41	20679.9
arCOG07796	NA	1505.73	6066.72	NA	NA	NA	NA
arCOG12631	NA	NA	16952.7	45468.6	8631.56	NA	8435.55
